job_title,company_name,location,salary_range,job_type,description,job_link,indeedApply,hiringMultipleCandidates,posted_date
Junior Frontend Developer,Mean3,Karachi,"Rs 25,000 - Rs 30,000 a month","Rs 25,000 - Rs 30,000 a month","Key Responsibilities:

Developing and maintaining website.
Implementing responsive design using media queries or Bootstrap
Collaborating with designers to ensure seamless integration of front-end design
Writing clean, modular, and maintainable code
Staying up-to-date with the latest front-end technologies and best practices
Participating in code reviews and sharing knowledge with the team
Experience with WordPress or Shopify will be considered a plus point.

Requirements:

At least 6 months of experience with HTML, CSS, JavaScript, and jQuery
Understanding of responsive design principles and media queries
Familiarity with Bootstrap and version control (Git)
Strong debugging and troubleshooting skills
Excellent communication and collaboration skills
Strong attention to detail and ability to work in a fast-paced environment
Bachelor's degree in Computer Science or a related field

Job Type: Full-time
Salary: Rs25,000.00 - Rs30,000.00 per month",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=46325f91adddb10a,,,Active 3 days ago
Junior Frontend Developer,Source Code,Karachi,"Rs 25,000 - Rs 30,000 a month","Rs 30,000 - Rs 35,000 a month","SourceCode is hiring for Junior Frontend Developer in the morning shift.

Must have experience with HTML, CSS, and JavaScript.
Able to implement solutions that are user responsive and efficient.
Must have knowledge of the entire web development process.
Capable of implementing a resilient web architecture.
Should have experience with testing and debugging.
Must have an eye for layout aesthetics.
You are analytical and you have a keen eye for details.
Must have great problem-solving skills and you work well in a team.
Curious about new technologies and you're driven to find ways to implement them in your work.
Must have a big appetite to learn and improve your front-end skills.

Job Type: Full-time
Salary: Rs30,000.00 - Rs35,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=a874892025803cd7,,,Active 3 days ago
Junior Frontend Developer,Avialdo Solutions,Karachi,"Rs 25,000 - Rs 30,000 a month",Full-time,"A junior front-end developer will be responsible for developing and maintaining the visual elements of a website or application. This includes designing and implementing user interfaces, ensuring that the website is visually appealing and easy to navigate, and ensuring that the website is responsive across different devices.
Requirements

Bachelors Degree in Computer Science or relevant field
Working knowledge of Nextjs and Typescript is mandatory
Minimum of 1 year of experience in frontend development
Experience with HTML, CSS, and JavaScript
Experience with responsive design principles
Familiarity with design tools such as Figma
Good Knowledge in React.Js

Skills

Strong problem-solving skills
Attention to detail and ability to follow design specifications
Good communication skills, both verbal and written
Ability to work independently and in a team

Responsibilities

Collaborate with designers and developers to implement user interface designs
Write clean, maintainable, and efficient code
Test and debug frontend code
Stay up-to-date with the latest web development technologies and best practices
Contribute to the development of frontend frameworks and libraries
Assist in the maintenance and updates of existing websites and applications.

Benefits

Office timings are 8AM - 5PM (Punctuality bonus)
Lunch and meals provided by the office
Performance-based bonuses

Availability

Can join as soon as possible and make an effective mark in growing the team

Location

Karachi, Pakistan

Job Type: Full-time
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

What is your current Salary?
What is your expected salary?
Have you worked on NextJs, Reactjs, Redux and Typescript?

Experience:

Javascript & React.js: 1 year (Required)
Frontend Development: 1 year (Required)
HTML & CSS: 1 year (Required)
",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=6a72f8447b178dec,,,Active 3 days ago
Frontend Developer Intern,Digital Ascendent,Karachi,"Rs 25,000 - Rs 30,000 a month","Rs 15,000 a month","Digital Ascendent is seeking a talented and experienced freelance Frontend Developer to join our team. As a Frontend Developer, you will be responsible for building responsive and user-friendly frontend components for websites and web applications. Your expertise in WordPress, HTML, CSS, and JavaScript will be essential in creating engaging and interactive UI experiences.
Responsibilities:

Develop and implement frontend components using WordPress, HTML, CSS, and JavaScript.
Collaborate with the development team to integrate frontend components into the overall architecture of websites and web applications.
Optimize frontend performance and ensure compatibility across different browsers and devices.
Troubleshoot and debug frontend issues to ensure seamless functionality.
Stay up-to-date with the latest frontend trends, technologies, and best practices.

Requirements:

Previous experience in frontend development, specifically working with WordPress, HTML, CSS, and JavaScript.
Familiarity with frontend JavaScript libraries, such as React.js, and No code platforms like Framer, Webflow, etc.
Enrolled or completed a bachelor's degree, preferably in a relevant field.
Strong problem-solving skills and attention to detail.
Excellent communication and collaboration skills.
Ability to work independently and meet project deadlines.
Comfortable working in a hybrid job environment, mainly catering to clients in the United States.
Available for a shift timing of 3:00 PM to 11:00 PM (8 hours).

Preferred Qualifications:

Experience working on frontend development projects for US-based clients.
Familiarity with UI/UX design principles and best practices.
Knowledge of version control systems, such as Git.
Experience with responsive design and mobile-first development.

This freelance position offers a flexible work arrangement and the opportunity to collaborate with a dynamic team of professionals. The pay will be dependent on your level of experience and expertise. We encourage both experienced professionals and fresh candidates to apply.
If you are passionate about frontend development and enjoy building seamless user experiences, we would love to hear from you. Please submit your resume, portfolio, and a brief description of your relevant experience.
Job Type: Full-time
Salary: From Rs15,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Education:

Intermediate (Preferred)
",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=7b4df8aa29114443,,,Active 3 days ago
Frontend Developer,Invinci IT Solutions (Pvt) Ltd,Karachi,"Rs 25,000 - Rs 30,000 a month","Rs 50,000 - Rs 55,000 a month","The ideal candidate will be responsible for designing, developing, testing, and debugging responsive web and mobile applications for the company. Using JavaScript, HTML, and CSS, this candidate will be able to translate user and business needs into functional frontend design.
Responsibilities

Build reusable code and libraries for future use
Accurately translate user and business needs into functional frontend code

Qualifications

Bachelor's degree or equivalent in Computer Science
2-3 years experience in frontend development
Capable of doing conversion from PSD to HTML and Word Press.
Experience building object oriented web applications in JavaScript, HTML5, and CSS and Bootstrap.

Afternoon Shift: 3PM - 12AM
Working Days: Mon - Sat (6 working days)
Salary: Rs. 50,000/- Rs. 55,000/-
Office Based
Job Type: Full-time
Salary: Rs50,000.00 - Rs55,000.00 per month
Education:

Bachelor's (Preferred)

Experience:

Frontend Develoment: 1 year (Preferred)
",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=c476b77da36428d6,,,Active 3 days ago
Graduate Trainee Program,VIDIZMO LLC,Karachi,"Rs 25,000 - Rs 30,000 a month",,"
GRADUATE TRAINEE PROGRAM - Gives Fresh University Graduates exposure to the Tech World.

 Vidizmo is looking for talented & passionate fresh graduates of engineering and management with strong software engineering (object-oriented programming skills) and a strong grip on relevant domains with a can-do attitude for following multiple positions in the engineering and management departments.


Product Marketing Strategist
Product Marketing Analyst
Product Market Research Analyst
Frontend Software Engineer
Backend Software Engineer
UI/UX Software Engineer
Product Software Analyst
Machine Learning Software Engineer
QA Software Engineer 
HR Trainee



 This program aims to provide an In - house training to fresh talent to learn through a series of experiences and interventions. Moreover, they will be assigned top tech Mentors' supervision to not only kick start their dreams but also to have a life-long experience and guidance.

 Highlights of the Program:



 Two weeks of training would be provided to the selected candidates


After the completion of the training, based on performance, Job opportunities would be provided to the successful candidates in their respective departments


Appreciation Certificates would be provided to all the participants after the completion of the two weeks training program




 We at Softech Worldwide, provide cutting-edge technology solutions for Fortune 500 companies, large, and medium-sized enterprises, and the public sector across the globe. To maintain the best customer experience with our product, service, and support, we are looking to hire qualified, dedicated, and self-motivated candidates who can help us further our business mission, i.e., to deliver highly innovative technology solutions while always putting our customers first.


 Required Qualification:



Bachelor's Degree in Administration, Computer & Software Engineering or related field



 Fresh Graduates are encouraged to apply.

",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=24e870b77cc6a5d2,,,Active 3 days ago
Front End Developer Intern,Deevloopers13 reviews,Karachi,"Rs 25,000 - Rs 30,000 a month","Rs 6,000 - Rs 10,000 a month","ResponsibilitiesWe are looking for a UI/UX Developer Intern.

The candidate must have exposure and interest in UI / UX Front end development.
Candidates should have good design concepts and UI development skills.

Skills & Requirements:

Real enthusiasm and passion for front end development
HTML5
UI patterns
Responsive web design for web and mobile
JavaScript, jQuery
Bootstrap

Why should you join us?

To gain exposure of Frontend Designing in real scenarios and practices.
This opportunity can become leading to job after three months.

Contract length: 3 months
Job Type: Full-time, Internship
Salary: Rs5,000.00 - Rs10,000.00 per month
Job Types: Full-time, Internship, Contract, New-GradContract length: 3 months
Salary: Rs6,000.00 - Rs10,000.00 per month",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=aa5768d20a7ef6ea,,,Active 3 days ago
Frontend Developer MT,Avialdo Solutions,Karachi,"Rs 25,000 - Rs 30,000 a month",Full-time,"A junior front-end developer MT will be responsible for developing and maintaining the visual elements of a website or application. This includes designing and implementing user interfaces, ensuring that the website is visually appealing and easy to navigate, and ensuring that the website is responsive across different devices.
Responsibilities

Develop and maintain the user interface for our machine translation system.
Collaborate with backend developers to integrate frontend components.
Create responsive designs using HTML, CSS, and Bootstrap.
Write efficient code using JavaScript and jQuery.
Test and fix frontend issues.

Qualifications

Bachelor's degree in Computer Science or related field.
Strong proficiency in HTML, CSS, Bootstrap, JS, and jQuery.
Experience with version control systems (e.g., Git).
Strong problem-solving skills and attention to detail.
Excellent communication and teamwork abilities.
Familiarity with machine translation technologies is a plus.

Benefits

Office timings are 8AM - 5PM (Punctuality bonus)
Lunch and meals provided by the office
Performance-based bonuses

Stipend: 20,000pkr plus Attendance bonus
Availability

Can join as soon as possible and make an effective mark in growing the team

Location

Karachi, Pakistan

Job Type: Full-time
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

What is your current Salary?
What is your expected salary?

Experience:

Javascript & Jquery: 1 year (Required)
HTML, CSS & Bootstrap: 1 year (Required)
",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=3de2311962e93f75,,,Active 3 days ago
Frontend Engineer (React.js),Denovers LLC,Karachi,"Rs 25,000 - Rs 30,000 a month",Full-time,"Denovers LLC, a San Francisco-based Tech company is looking for a highly skilled Frontend Engineer (React.js) for its Karachi office (In-house). As Frontend Engineer, you will be responsible for developing and designing front-end web architecture, Integrating APIs, ensuring the responsiveness of applications. You will directly be collaborating with international clients so good communication skills are required.
Requirements:

At least 1 or 2 years of Experience in (React.js).
Good Problem-solving skills, Self, and Fast Learner.
Attitude to learn and earn.
Good communication skills.
Opportunity to work with a skilled design team.

Job Types: Full-time, Contract
Application Question(s):

How soon can you join?

Experience:

React.js: 1 year (Preferred)
",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=ff9d143ce847fec6,,,Active 3 days ago
Frontend Developer (HTML / CSS / BOOTSTRAP / JS/Wordpress),Digiwised A Software Solution Company,Karachi,"Rs 25,000 - Rs 30,000 a month","Rs 20,000 - Rs 35,000 a month","The ideal candidate will be responsible for designing, developing, testing, and debugging responsive web and mobile applications for the company. Using React, JavaScript, jQUERRY, HTML, and CSS, Bootstrap. this candidate will be able to translate user and business needs into functional frontend design. Responsibilities Designing, developing, and testing UI for mobile and web applications Build reusable code and libraries for future use Accurately translate user and business needs into functional frontend code
Job Types: Full-time, ContractContract length: 12 months
Salary: Rs20,000.00 - Rs35,000.00 per month
Ability to commute/relocate:

Karachi: Reliably commute or planning to relocate before starting work (Required)
",https://pk.indeed.com/jobs?q=frontend&l=karachi&from=searchOnHP&vjk=bc42f300ceb75eb5,,,Active 3 days ago
